Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX
X20130911,C02,G,177,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,G,111,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,G,110,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,G,83,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,G,57,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,31,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,49,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,79,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,106,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,121,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,129,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,106,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,111,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,110,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,104,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,H,99,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,50,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,100,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,145,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,172,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,202,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,191,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,143,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,155,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,155,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,138,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,I,124,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,35,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,56,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,108,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,127,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,124,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,129,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,80,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,93,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,82,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,75,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,J,56,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,54,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,90,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,109,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,127,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,141,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,148,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,145,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,118,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,104,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,93,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,K,62,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,53,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,74,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,95,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,101,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,88,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,78,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,77,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,67,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,65,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,56,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,L,43,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,51,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,96,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,130,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,157,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,193,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,209,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,M,190,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
