Expt,Well,Colony,Time,FUCCI,CellCount
X20120608,C06,L,0,30,63
X20120608,C06,L,1,43,103
X20120608,C06,L,2,97,207
X20120608,C06,L,3,200,414
X20120410,D07,A,0,25,49
X20120410,D07,A,1,31,71
X20120410,D07,A,2,28,93
X20120410,D07,A,3,53,146
