Well ,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,Plate
B02,N,62,7,0,500,0,0,0,1
B02,N,66,8,0,500,0,0,0,1
B02,N,72,9,0,500,0,0,0,1
B02,N,82,10,0,500,0,0,0,1
B02,O,26,0,0,500,0,0,0,1
B02,O,32,1,0,500,0,0,0,1
B02,O,35,2,0,500,0,0,0,1
B02,O,33,3,0,500,0,0,0,1
B02,O,36,4,0,500,0,0,0,1
B02,O,39,5,0,500,0,0,0,1
B02,O,48,6,0,500,0,0,0,1
B02,O,58,7,0,500,0,0,0,1
B02,O,65,8,0,500,0,0,0,1
B02,O,65,9,0,500,0,0,0,1
B02,O,79,10,0,500,0,0,0,1
B02,P,60,0,0,500,0,0,0,1
B02,P,73,1,0,500,0,0,0,1
B02,P,88,2,0,500,0,0,0,1
B02,P,97,3,0,500,0,0,0,1
B02,P,103,4,0,500,0,0,0,1
B02,P,109,5,0,500,0,0,0,1
B02,P,106,6,0,500,0,0,0,1
B02,P,117,7,0,500,0,0,0,1
B02,P,129,8,0,500,0,0,0,1
B02,P,145,9,0,500,0,0,0,1
B02,P,152,10,0,500,0,0,0,1
B02,Q,19,0,0,500,0,0,0,1
B02,Q,21,1,0,500,0,0,0,1
B02,Q,29,2,0,500,0,0,0,1
B02,Q,34,3,0,500,0,0,0,1
B02,Q,36,4,0,500,0,0,0,1
B02,Q,45,5,0,500,0,0,0,1
B02,Q,52,6,0,500,0,0,0,1
B02,Q,58,7,0,500,0,0,0,1
B02,Q,65,8,0,500,0,0,0,1
B02,Q,62,9,0,500,0,0,0,1
B02,Q,71,10,0,500,0,0,0,1
B02,R,29,0,0,500,0,0,0,1
B02,R,36,1,0,500,0,0,0,1
B02,R,39,2,0,500,0,0,0,1
B02,R,33,3,0,500,0,0,0,1
B02,R,37,4,0,500,0,0,0,1
B02,R,38,5,0,500,0,0,0,1
B02,R,43,6,0,500,0,0,0,1
B02,R,42,7,0,500,0,0,0,1
B02,R,48,8,0,500,0,0,0,1
B02,R,44,9,0,500,0,0,0,1
B02,R,45,10,0,500,0,0,0,1
B02,S,29,0,0,500,0,0,0,1
B02,S,30,1,0,500,0,0,0,1
B02,S,32,2,0,500,0,0,0,1
B02,S,39,3,0,500,0,0,0,1
B02,S,28,4,0,500,0,0,0,1
B02,S,38,5,0,500,0,0,0,1
B02,S,35,6,0,500,0,0,0,1
B02,S,38,7,0,500,0,0,0,1
B02,S,42,8,0,500,0,0,0,1
B02,S,38,9,0,500,0,0,0,1
B02,S,43,10,0,500,0,0,0,1
B02,T,31,0,0,500,0,0,0,1
B02,T,31,1,0,500,0,0,0,1
B02,T,38,2,0,500,0,0,0,1
B02,T,41,3,0,500,0,0,0,1
B02,T,49,4,0,500,0,0,0,1
B02,T,54,5,0,500,0,0,0,1
B02,T,64,6,0,500,0,0,0,1
B02,T,72,7,0,500,0,0,0,1
B02,T,74,8,0,500,0,0,0,1
B02,T,86,9,0,500,0,0,0,1
B02,T,78,10,0,500,0,0,0,1
B02,U,33,0,0,500,0,0,0,1
B02,U,49,1,0,500,0,0,0,1
B02,U,53,2,0,500,0,0,0,1
B02,U,57,3,0,500,0,0,0,1
B02,U,56,4,0,500,0,0,0,1
B02,U,58,5,0,500,0,0,0,1
B02,U,60,6,0,500,0,0,0,1
B02,U,63,7,0,500,0,0,0,1
B02,U,65,8,0,500,0,0,0,1
B02,U,63,9,0,500,0,0,0,1
B02,U,71,10,0,500,0,0,0,1
B03,A,62,0,0,500,0,0,0,1
B03,A,72,1,0,500,0,0,0,1
B03,A,76,2,0,500,0,0,0,1
B03,A,92,3,0,500,0,0,0,1
B03,A,105,4,0,500,0,0,0,1
B03,A,111,5,0,500,0,0,0,1
B03,A,120,6,0,500,0,0,0,1
B03,A,140,7,0,500,0,0,0,1
B03,A,176,8,0,500,0,0,0,1
B03,A,191,9,0,500,0,0,0,1
B03,A,237,10,0,500,0,0,0,1
B03,B,72,0,0,500,0,0,0,1
B03,B,75,1,0,500,0,0,0,1
B03,B,75,2,0,500,0,0,0,1
B03,B,83,3,0,500,0,0,0,1
B03,B,84,4,0,500,0,0,0,1
B03,B,85,5,0,500,0,0,0,1
B03,B,86,6,0,500,0,0,0,1
B03,B,88,7,0,500,0,0,0,1
B03,B,92,8,0,500,0,0,0,1
B03,B,95,9,0,500,0,0,0,1
B03,B,96,10,0,500,0,0,0,1
B03,C,64,0,0,500,0,0,0,1
B03,C,88,1,0,500,0,0,0,1
B03,C,105,2,0,500,0,0,0,1
B03,C,107,3,0,500,0,0,0,1
B03,C,116,4,0,500,0,0,0,1
B03,C,128,5,0,500,0,0,0,1
B03,C,130,6,0,500,0,0,0,1
B03,C,141,7,0,500,0,0,0,1
B03,C,162,8,0,500,0,0,0,1
B03,C,175,9,0,500,0,0,0,1
B03,C,196,10,0,500,0,0,0,1
B03,D,81,0,0,500,0,0,0,1
B03,D,95,1,0,500,0,0,0,1
B03,D,113,2,0,500,0,0,0,1
B03,D,102,3,0,500,0,0,0,1
B03,D,108,4,0,500,0,0,0,1
B03,D,109,5,0,500,0,0,0,1
B03,D,107,6,0,500,0,0,0,1
B03,D,117,7,0,500,0,0,0,1
B03,D,117,8,0,500,0,0,0,1
B03,D,115,9,0,500,0,0,0,1
B03,D,115,10,0,500,0,0,0,1
B03,E,40,0,0,500,0,0,0,1
B03,E,39,1,0,500,0,0,0,1
B03,E,47,2,0,500,0,0,0,1
B03,E,52,3,0,500,0,0,0,1
B03,E,57,4,0,500,0,0,0,1
B03,E,59,5,0,500,0,0,0,1
B03,E,62,6,0,500,0,0,0,1
B03,E,63,7,0,500,0,0,0,1
B03,E,67,8,0,500,0,0,0,1
B03,E,79,9,0,500,0,0,0,1
B03,E,77,10,0,500,0,0,0,1
B03,F,31,0,0,500,0,0,0,1
B03,F,29,1,0,500,0,0,0,1
B03,F,37,2,0,500,0,0,0,1
B03,F,47,3,0,500,0,0,0,1
B03,F,45,4,0,500,0,0,0,1
B03,F,49,5,0,500,0,0,0,1
B03,F,52,6,0,500,0,0,0,1
B03,F,44,7,0,500,0,0,0,1
B03,F,49,8,0,500,0,0,0,1
B03,F,53,9,0,500,0,0,0,1
B03,F,55,10,0,500,0,0,0,1
B03,G,32,0,0,500,0,0,0,1
B03,G,44,1,0,500,0,0,0,1
B03,G,43,2,0,500,0,0,0,1
B03,G,44,3,0,500,0,0,0,1
B03,G,51,4,0,500,0,0,0,1
B03,G,48,5,0,500,0,0,0,1
B03,G,60,6,0,500,0,0,0,1
B03,G,63,7,0,500,0,0,0,1
B03,G,76,8,0,500,0,0,0,1
B03,G,93,9,0,500,0,0,0,1
B03,G,89,10,0,500,0,0,0,1
B03,H,33,0,0,500,0,0,0,1
B03,H,51,1,0,500,0,0,0,1
B03,H,59,2,0,500,0,0,0,1
B03,H,59,3,0,500,0,0,0,1
B03,H,62,4,0,500,0,0,0,1
B03,H,66,5,0,500,0,0,0,1
B03,H,74,6,0,500,0,0,0,1
B03,H,86,7,0,500,0,0,0,1
B03,H,96,8,0,500,0,0,0,1
B03,H,108,9,0,500,0,0,0,1
B03,H,107,10,0,500,0,0,0,1
B03,I,63,0,0,500,0,0,0,1
B03,I,82,1,0,500,0,0,0,1
B03,I,91,2,0,500,0,0,0,1
B03,I,99,3,0,500,0,0,0,1
B03,I,80,4,0,500,0,0,0,1
B03,I,109,5,0,500,0,0,0,1
B03,I,103,6,0,500,0,0,0,1
B03,I,104,7,0,500,0,0,0,1
B03,I,120,8,0,500,0,0,0,1
B03,I,142,9,0,500,0,0,0,1
B03,I,134,10,0,500,0,0,0,1
B03,J,30,0,0,500,0,0,0,1
B03,J,35,1,0,500,0,0,0,1
B03,J,38,2,0,500,0,0,0,1
B03,J,36,3,0,500,0,0,0,1
B03,J,39,4,0,500,0,0,0,1
B03,J,43,5,0,500,0,0,0,1
B03,J,51,6,0,500,0,0,0,1
