"","Expt","Well","Colony","Cell.count","Time.day","Erl","CHX","FSK","TRM","X17A","SB","An","Cell.line","Plate","ABT","PLX"
"54","BPSKMEL","B04",3,41,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"55","BPSKMEL","B04",3,29,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"56","BPSKMEL","B04",3,29,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"57","BPSKMEL","B04",3,24,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"58","BPSKMEL","B04",3,9,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"59","BPSKMEL","B04",3,5,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"60","BPSKMEL","B04",3,5,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"61","BPSKMEL","B04",3,8,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"62","BPSKMEL","B04",3,10,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"63","BPSKMEL","B04",3,10,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"64","BPSKMEL","B06",4,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"65","BPSKMEL","B06",4,7,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"66","BPSKMEL","B06",4,21,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"67","BPSKMEL","B06",4,36,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"68","BPSKMEL","B06",4,72,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"69","BPSKMEL","B06",4,100,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"70","BPSKMEL","B06",4,143,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"71","BPSKMEL","B06",4,140,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"72","BPSKMEL","B06",4,173,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"73","BPSKMEL","B06",4,148,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"74","BPSKMEL","B06",4,136,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"75","BPSKMEL","B06",4,118,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"76","BPSKMEL","B06",4,112,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"77","BPSKMEL","B06",4,102,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"78","BPSKMEL","B06",4,90,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"79","BPSKMEL","B06",4,57,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"80","BPSKMEL","B06",4,71,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"81","BPSKMEL","B06",4,47,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"82","BPSKMEL","B06",4,41,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"83","BPSKMEL","B06",4,39,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"84","BPSKMEL","B06",4,43,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"85","BPSKMEL","B06",5,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"86","BPSKMEL","B06",5,9,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"87","BPSKMEL","B06",5,12,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"88","BPSKMEL","B06",5,23,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"89","BPSKMEL","B06",5,38,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"90","BPSKMEL","B06",5,65,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"91","BPSKMEL","B06",5,110,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"92","BPSKMEL","B06",5,104,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"93","BPSKMEL","B06",5,100,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"94","BPSKMEL","B06",5,122,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"95","BPSKMEL","B06",5,115,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"96","BPSKMEL","B06",5,120,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"97","BPSKMEL","B06",5,91,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"98","BPSKMEL","B06",5,103,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"99","BPSKMEL","B06",5,104,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"100","BPSKMEL","B06",5,71,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"101","BPSKMEL","B06",5,78,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"102","BPSKMEL","B06",5,66,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"103","BPSKMEL","B06",5,49,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"104","BPSKMEL","B06",5,48,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"105","BPSKMEL","B06",5,36,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"106","BPSKMEL","B06",6,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"107","BPSKMEL","B06",6,1,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"108","BPSKMEL","B06",6,5,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"109","BPSKMEL","B06",6,9,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"110","BPSKMEL","B06",6,24,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"111","BPSKMEL","B06",6,47,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"112","BPSKMEL","B06",6,81,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"113","BPSKMEL","B06",6,81,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"114","BPSKMEL","B06",6,88,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"115","BPSKMEL","B06",6,80,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"116","BPSKMEL","B06",6,71,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"117","BPSKMEL","B06",6,70,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"118","BPSKMEL","B06",6,67,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"119","BPSKMEL","B06",6,65,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"120","BPSKMEL","B06",6,43,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"121","BPSKMEL","B06",6,9,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"122","BPSKMEL","B06",6,11,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"123","BPSKMEL","B06",6,10,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"124","BPSKMEL","B06",6,12,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"125","BPSKMEL","B06",6,13,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"126","BPSKMEL","B06",6,14,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"127","BPSKMEL","B06",7,10,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"128","BPSKMEL","B06",7,24,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"129","BPSKMEL","B06",7,42,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"130","BPSKMEL","B06",7,76,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"131","BPSKMEL","B06",7,125,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"132","BPSKMEL","B06",7,235,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"133","BPSKMEL","B06",7,310,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"134","BPSKMEL","B06",7,308,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"135","BPSKMEL","B06",7,362,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"136","BPSKMEL","B06",7,321,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"137","BPSKMEL","B06",7,360,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"138","BPSKMEL","B06",7,365,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
