Well,Colony,CellCount,Time_Day,Erl,SB,An,Cell.line,Plate
B03,C,156,2,0,10,0,PC9.sp,SB.plate
B03,C,163,3,0,10,0,PC9.sp,SB.plate
B03,D,52,0,0,10,0,PC9.sp,SB.plate
B03,D,71,1,0,10,0,PC9.sp,SB.plate
B03,D,101,2,0,10,0,PC9.sp,SB.plate
B03,D,110,3,0,10,0,PC9.sp,SB.plate
B03,E,17,0,0,10,0,PC9.sp,SB.plate
B03,E,28,1,0,10,0,PC9.sp,SB.plate
B03,E,32,2,0,10,0,PC9.sp,SB.plate
B03,E,32,3,0,10,0,PC9.sp,SB.plate
B03,F,32,0,0,10,0,PC9.sp,SB.plate
B03,F,63,1,0,10,0,PC9.sp,SB.plate
B03,F,118,2,0,10,0,PC9.sp,SB.plate
B03,F,172,3,0,10,0,PC9.sp,SB.plate
B03,G,24,0,0,10,0,PC9.sp,SB.plate
B03,G,42,1,0,10,0,PC9.sp,SB.plate
B03,G,56,2,0,10,0,PC9.sp,SB.plate
B03,G,64,3,0,10,0,PC9.sp,SB.plate
B03,H,25,0,0,10,0,PC9.sp,SB.plate
B03,H,38,1,0,10,0,PC9.sp,SB.plate
B03,H,54,2,0,10,0,PC9.sp,SB.plate
B03,H,65,3,0,10,0,PC9.sp,SB.plate
B03,I,22,0,0,10,0,PC9.sp,SB.plate
B03,I,26,1,0,10,0,PC9.sp,SB.plate
B03,I,44,2,0,10,0,PC9.sp,SB.plate
B03,I,45,3,0,10,0,PC9.sp,SB.plate
B03,J,24,0,0,10,0,PC9.sp,SB.plate
B03,J,45,1,0,10,0,PC9.sp,SB.plate
B03,J,71,2,0,10,0,PC9.sp,SB.plate
B03,J,108,3,0,10,0,PC9.sp,SB.plate
B03,K,29,0,0,10,0,PC9.sp,SB.plate
B03,K,45,1,0,10,0,PC9.sp,SB.plate
B03,K,54,2,0,10,0,PC9.sp,SB.plate
B03,K,58,3,0,10,0,PC9.sp,SB.plate
B03,L,26,0,0,10,0,PC9.sp,SB.plate
B03,L,37,1,0,10,0,PC9.sp,SB.plate
B03,L,43,2,0,10,0,PC9.sp,SB.plate
B03,L,52,3,0,10,0,PC9.sp,SB.plate
B03,M,45,0,0,10,0,PC9.sp,SB.plate
B03,M,84,1,0,10,0,PC9.sp,SB.plate
B03,M,110,2,0,10,0,PC9.sp,SB.plate
B03,M,131,3,0,10,0,PC9.sp,SB.plate
B03,N,32,0,0,10,0,PC9.sp,SB.plate
B03,N,44,1,0,10,0,PC9.sp,SB.plate
B03,N,58,2,0,10,0,PC9.sp,SB.plate
B03,N,66,3,0,10,0,PC9.sp,SB.plate
B03,O,47,0,0,10,0,PC9.sp,SB.plate
