Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX,Pre.well
BPSKMEL,XX,3,11,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day3
BPSKMEL,XX,3,26,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day4
BPSKMEL,XX,3,37,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day5
BPSKMEL,XX,3,65,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day6
BPSKMEL,XX,3,62,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day7
BPSKMEL,XX,3,69,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day8
BPSKMEL,XX,3,45,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day9
BPSKMEL,XX,3,38,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day10
BPSKMEL,XX,3,41,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day11
BPSKMEL,XX,3,29,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day12
BPSKMEL,XX,3,29,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day13
BPSKMEL,XX,3,24,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day14
BPSKMEL,XX,3,9,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day15
BPSKMEL,XX,3,5,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day16
BPSKMEL,XX,3,5,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day17
BPSKMEL,XX,3,8,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day18
BPSKMEL,XX,3,10,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day19
BPSKMEL,XX,3,10,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C04H2B_day20
BPSKMEL,XX,4,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day0
BPSKMEL,XX,4,7,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day1
BPSKMEL,XX,4,21,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day2
BPSKMEL,XX,4,36,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day3
